acc_l_x[mg],acc_l_y[mg],acc_l_z[mg],gyro_x[dps],gyro_y[dps],gyro_z[dps],acc_h_x[mg],acc_h_y[mg],acc_h_z[mg]
264.984,584.136,-768.112,-0.84,-1.89,2.31,288.896,632.448,-804.224
260.592,579.256,-767.624,-0.42,-1.89,2.31,304.512,648.064,-804.224
258.152,576.816,-767.624,0.21,-1.82,2.38,320.128,648.064,-804.224
254.248,576.816,-770.552,0.7,-1.89,2.52,288.896,616.832,-788.608
253.76,578.768,-775.432,1.4,-1.68,2.8,288.896,624.64,-819.84
253.272,577.792,-779.824,2.03,-1.82,3.01,265.472,640.256,-804.224
252.784,578.28,-780.8,2.52,-1.75,3.15,281.088,640.256,-819.84
255.224,579.744,-785.192,3.08,-1.75,3.15,304.512,616.832,-835.456
258.152,582.672,-788.12,3.57,-1.47,3.22,281.088,616.832,-835.456
261.568,584.624,-789.096,3.99,-1.12,3.15,265.472,640.256,-819.84
262.056,588.528,-787.144,4.41,-0.77,3.08,288.896,632.448,-835.456
264.008,593.408,-788.12,4.69,-0.63,3.15,304.512,632.448,-780.8
264.496,594.872,-784.216,4.69,-0.42,3.08,296.704,640.256,-812.032
264.008,596.336,-773.968,4.62,-0.14,3.08,273.28,640.256,-788.608
261.08,594.872,-764.208,4.27,-0.14,3.01,281.088,648.064,-772.992
259.128,593.408,-757.376,3.99,-0.21,2.73,296.704,632.448,-796.416
258.152,591.456,-753.96,3.64,-0.28,2.59,281.088,616.832,-812.032
256.2,586.088,-759.328,3.36,-0.35,2.45,288.896,648.064,-788.608
256.688,582.672,-765.672,3.15,-0.21,2.38,281.088,648.064,-812.032
257.664,577.304,-774.944,3.15,-0.14,2.24,304.512,609.024,-819.84
257.664,575.84,-778.36,3.36,0.07,2.17,288.896,632.448,-788.608
255.712,575.84,-779.336,3.57,0.42,2.03,288.896,593.408,-804.224
254.736,576.328,-776.896,4.13,0.77,2.1,296.704,601.216,-812.032
251.808,576.816,-775.432,4.62,1.05,2.03,288.896,632.448,-804.224
250.344,579.256,-773.968,4.97,1.12,2.24,273.28,632.448,-804.224
245.952,581.696,-771.04,5.11,1.33,2.38,304.512,640.256,-796.416
243.512,586.088,-768.112,5.04,1.19,2.38,249.856,632.448,-812.032
242.048,588.528,-769.576,4.9,1.12,2.45,281.088,648.064,-812.032
240.096,591.944,-771.528,4.76,1.05,2.31,265.472,655.872,-804.224
240.584,595.36,-774.944,4.69,1.05,2.17,288.896,624.64,-812.032
242.536,599.752,-778.36,4.41,1.05,1.89,273.28,671.488,-827.648
244.488,606.584,-778.36,4.34,0.98,1.68,288.896,663.68,-827.648
243.512,613.904,-781.288,3.99,0.98,1.54,273.28,663.68,-796.416
244.488,617.32,-783.24,3.57,1.05,1.54,288.896,687.104,-819.84
245.464,621.224,-782.264,3.15,1.12,1.47,281.088,687.104,-812.032
245.952,623.176,-780.312,2.73,1.12,1.54,265.472,679.296,-819.84
248.392,624.152,-778.848,2.45,1.05,1.75,265.472,663.68,-796.416
249.368,624.152,-780.8,2.1,0.98,1.96,288.896,632.448,-819.84
249.368,621.712,-780.8,1.68,1.05,2.24,296.704,663.68,-819.84
251.808,617.32,-782.264,1.4,0.98,2.45,281.088,679.296,-819.84
253.76,612.44,-783.24,1.05,0.91,2.52,265.472,663.68,-819.84
255.712,606.096,-785.68,0.84,0.91,2.73,273.28,663.68,-819.84
256.688,598.776,-784.704,0.7,0.98,2.87,257.664,640.256,-819.84
255.712,592.432,-783.24,0.42,1.05,2.87,296.704,640.256,-804.224
255.224,588.04,-782.752,0.21,1.12,2.73,288.896,632.448,-804.224
254.248,583.648,-783.24,0.07,1.05,2.59,288.896,648.064,-796.416
254.248,580.232,-784.704,-0.21,1.05,2.52,281.088,616.832,-796.416
254.248,578.28,-789.096,-0.21,1.05,2.45,257.664,616.832,-819.84
253.76,576.816,-794.464,-0.21,0.98,2.24,296.704,624.64,-827.648
256.2,575.84,-798.368,-0.35,0.91,2.24,281.088,632.448,-827.648
257.176,573.888,-798.856,-0.35,1.19,2.1,273.28,624.64,-843.264
257.176,575.352,-797.88,-0.35,1.19,1.96,320.128,609.024,-819.84
258.64,577.304,-795.44,-0.42,1.33,1.82,288.896,609.024,-812.032
257.176,578.28,-792.512,-0.49,1.4,1.68,265.472,624.64,-804.224
256.2,579.744,-784.704,-0.56,1.61,1.47,273.28,640.256,-804.224
254.736,583.16,-781.288,-0.77,1.68,1.33,288.896,648.064,-796.416
251.808,584.624,-777.872,-0.98,1.68,1.19,281.088,655.872,-827.648
250.344,586.576,-775.432,-1.33,1.61,1.19,273.28,616.832,-804.224
252.296,584.624,-771.528,-1.47,1.54,1.26,273.28,632.448,-835.456
252.296,586.088,-769.088,-1.61,1.26,1.33,288.896,632.448,-812.032
253.76,583.648,-764.696,-1.61,1.12,1.4,273.28,655.872,-804.224
254.248,581.696,-762.256,-1.61,0.91,1.4,249.856,640.256,-796.416
253.76,581.696,-760.304,-1.54,0.77,1.54,288.896,632.448,-788.608
257.176,580.232,-759.816,-1.54,0.63,1.61,296.704,616.832,-788.608
257.664,575.84,-762.256,-1.26,0.56,1.68,281.088,632.448,-788.608
258.152,574.864,-762.256,-0.98,0.49,1.68,288.896,624.64,-812.032
259.616,573.4,-763.232,-0.77,0.35,1.61,296.704,624.64,-812.032
259.128,572.424,-764.208,-0.49,0.21,1.75,296.704,648.064,-780.8
260.592,569.984,-765.184,0.07,0.28,1.82,304.512,624.64,-780.8
260.104,570.472,-765.672,0.56,0.21,1.96,273.28,616.832,-812.032
260.592,567.056,-764.696,1.19,0.0,2.03,296.704,601.216,-796.416
259.128,566.568,-761.768,1.75,-0.07,2.17,273.28,624.64,-788.608
256.2,563.152,-759.328,2.31,-0.14,2.17,257.664,632.448,-780.8
255.712,561.2,-757.864,2.94,-0.28,2.17,288.896,609.024,-788.608
254.736,561.2,-755.424,3.5,-0.49,2.24,273.28,616.832,-772.992
253.76,560.224,-750.544,3.78,-0.56,2.1,288.896,601.216,-796.416
250.832,559.248,-746.152,3.99,-0.84,2.17,296.704,616.832,-796.416
248.88,557.296,-746.152,4.2,-0.98,1.96,281.088,616.832,-765.184
248.392,561.2,-745.176,4.2,-1.19,1.82,273.28,585.6,-780.8
248.392,559.248,-746.64,4.13,-1.47,1.68,281.088,616.832,-772.992
250.344,559.248,-745.664,4.06,-1.96,1.54,288.896,585.6,-796.416
250.344,561.688,-749.568,4.06,-2.1,1.26,265.472,609.024,-780.8
253.76,565.104,-750.056,3.78,-2.31,1.12,304.512,648.064,-772.992
254.736,567.056,-751.032,3.64,-2.38,0.91,288.896,601.216,-780.8
256.2,570.96,-750.056,3.43,-2.45,0.84,281.088,648.064,-772.992
256.688,574.376,-748.104,3.22,-2.52,0.77,288.896,616.832,-772.992
257.664,578.28,-747.128,3.01,-2.66,0.63,273.28,601.216,-788.608
256.688,581.696,-750.056,2.94,-2.66,0.7,273.28,632.448,-788.608
255.712,584.624,-752.008,2.94,-2.73,0.63,281.088,632.448,-780.8
253.76,587.552,-752.984,2.87,-2.73,0.7,288.896,624.64,-788.608
253.76,589.992,-753.472,2.87,-2.66,0.7,296.704,624.64,-780.8
251.32,591.456,-753.96,2.8,-2.87,0.7,281.088,632.448,-780.8
249.856,591.944,-751.52,2.59,-2.87,0.63,273.28,624.64,-780.8
249.368,593.896,-750.544,2.45,-2.94,0.63,288.896,632.448,-812.032
248.392,595.848,-752.008,2.31,-3.01,0.49,281.088,609.024,-780.8
246.44,596.336,-754.448,2.17,-3.08,0.49,273.28,632.448,-780.8
246.44,599.752,-756.888,2.03,-3.22,0.42,265.472,663.68,-780.8
244.976,599.752,-760.304,1.89,-3.36,0.49,273.28,648.064,-780.8
245.464,597.312,-763.72,1.68,-3.36,0.7,273.28,655.872,-812.032
246.928,595.848,-765.672,1.54,-3.5,0.77,265.472,648.064,-780.8
248.88,592.92,-770.552,1.4,-3.64,0.77,288.896,663.68,-796.416
250.344,591.456,-771.04,1.4,-3.57,0.7,281.088,648.064,-812.032
253.76,588.528,-773.968,1.26,-3.64,0.7,281.088,640.256,-796.416
253.272,587.552,-778.848,1.19,-3.5,0.63,288.896,624.64,-819.84
253.76,586.088,-783.728,1.12,-3.36,0.63,288.896,640.256,-835.456
253.76,589.504,-786.656,1.05,-3.29,0.42,265.472,632.448,-835.456
254.736,589.504,-792.512,0.91,-3.22,0.42,265.472,624.64,-835.456
253.76,590.968,-795.44,0.91,-3.01,0.35,265.472,632.448,-819.84
256.2,592.432,-802.272,0.84,-3.01,0.21,320.128,648.064,-835.456
257.176,595.36,-804.712,0.91,-2.94,0.28,296.704,616.832,-874.496
258.64,597.312,-810.08,1.12,-2.87,0.35,296.704,648.064,-858.88
262.056,597.312,-811.544,1.19,-2.73,0.56,288.896,640.256,-843.264
263.032,596.824,-810.568,1.4,-2.59,0.63,304.512,648.064,-835.456
263.52,598.776,-808.128,1.33,-2.38,0.7,304.512,655.872,-819.84
264.008,595.848,-806.176,1.33,-2.24,0.84,304.512,648.064,-851.072
262.056,594.872,-801.784,1.12,-2.03,0.84,281.088,648.064,-835.456
261.08,593.896,-798.368,0.84,-1.82,0.84,320.128,648.064,-835.456
260.592,590.968,-793.976,0.63,-1.68,0.91,288.896,624.64,-827.648
258.152,586.576,-787.632,0.42,-1.61,0.84,281.088,640.256,-827.648
255.712,581.208,-784.216,0.28,-1.47,0.77,296.704,616.832,-812.032
254.248,577.304,-780.8,0.21,-1.47,0.63,296.704,624.64,-812.032
252.784,571.936,-779.336,0.07,-1.33,0.63,304.512,616.832,-819.84
251.32,566.568,-776.408,0.14,-1.33,0.63,281.088,624.64,-819.84
248.392,562.176,-772.504,0.14,-1.26,0.56,288.896,624.64,-812.032
248.392,558.272,-771.528,0.28,-1.26,0.56,273.28,577.792,-796.416
246.928,555.344,-768.6,0.42,-1.33,0.49,257.664,609.024,-796.416
246.928,555.344,-770.064,0.56,-1.4,0.21,296.704,593.408,-796.416
247.904,553.88,-769.576,0.7,-1.4,0.07,273.28,609.024,-804.224
247.904,554.368,-769.088,0.84,-1.47,-0.14,281.088,601.216,-819.84
247.904,556.808,-768.6,0.98,-1.47,-0.21,265.472,616.832,-804.224
247.904,560.224,-764.208,1.19,-1.54,-0.35,273.28,616.832,-780.8
249.856,563.64,-761.768,1.33,-1.68,-0.49,265.472,609.024,-780.8
249.856,568.52,-756.4,1.33,-1.89,-0.49,265.472,624.64,-796.416
249.368,572.424,-754.448,1.19,-1.82,-0.42,288.896,609.024,-780.8
251.808,574.376,-753.472,0.98,-1.89,-0.49,273.28,624.64,-812.032
253.272,577.304,-753.96,0.63,-1.82,-0.63,257.664,624.64,-765.184
252.784,580.232,-752.008,0.42,-1.82,-0.56,304.512,640.256,-780.8
251.32,581.696,-753.96,0.14,-1.89,-0.63,288.896,648.064,-788.608
251.32,584.136,-752.008,0.0,-1.82,-0.63,296.704,632.448,-788.608
250.832,582.184,-753.472,-0.14,-1.89,-0.7,288.896,632.448,-757.376
250.344,582.184,-754.448,-0.35,-1.89,-0.63,273.28,624.64,-796.416
250.832,583.16,-756.888,-0.42,-1.82,-0.56,296.704,640.256,-788.608
250.344,580.72,-765.184,-0.63,-1.96,-0.56,273.28,632.448,-796.416
249.368,578.768,-771.04,-0.84,-2.03,-0.49,273.28,609.024,-788.608
253.76,578.28,-773.968,-0.77,-2.03,-0.77,273.28,616.832,-788.608
252.296,577.792,-775.92,-0.7,-2.03,-0.77,281.088,616.832,-812.032
252.784,580.232,-779.824,-0.56,-1.89,-0.77,288.896,632.448,-812.032
251.808,583.16,-779.824,-0.28,-1.82,-0.91,304.512,640.256,-804.224
252.296,584.136,-778.848,-0.14,-1.68,-0.7,281.088,616.832,-812.032
