@relation 'MLC'

@attribute F1_MEAN_ACC_X numeric
@attribute F2_VARIANCE_ACC_X numeric
@attribute F3_ENERGY_ACC_X numeric
@attribute F4_PEAK_TO_PEAK_ACC_X numeric
@attribute F5_MINIMUM_ACC_X numeric
@attribute F6_MAXIMUM_ACC_X numeric
@attribute F7_MEAN_ACC_Y numeric
@attribute F8_MINIMUM_ACC_Y numeric
@attribute F9_MAXIMUM_ACC_Y numeric
@attribute F10_MEAN_ACC_Z numeric
@attribute F11_ENERGY_ACC_Z numeric
@attribute F12_MINIMUM_ACC_Z numeric
@attribute F13_MAXIMUM_ACC_Z numeric
@attribute F14_ABS_MEAN_ACC_V numeric
@attribute F15_ABS_MINIMUM_ACC_V numeric
@attribute class {stationary, walking, running, cycling}

@data
0.386963, 0, 10.4766, 0.0175781, 0.378662, 0.39624, -0.4021, -0.409424, -0.393311, -0.841309, 49.3438, -0.856445, -0.826172, 1.00586, 0.996094, stationary
0.385742, 0.000244141, 10.4375, 0.0161133, 0.379639, 0.395752, -0.403564, -0.41333, -0.39209, -0.839844, 49.2188, -0.850098, -0.826172, 1.00391, 0.996094, stationary
0.387451, 0, 10.4453, 0.0170898, 0.378906, 0.395996, -0.40332, -0.412109, -0.392822, -0.841309, 49.3125, -0.847168, -0.823242, 1.00391, 0.996094, stationary
0.387451, 0, 10.4609, 0.0148926, 0.379395, 0.394287, -0.405273, -0.411621, -0.397705, -0.84082, 49.2813, -0.853027, -0.823242, 1.00391, 0.995605, stationary
0.386719, 0, 10.4375, 0.0175781, 0.37915, 0.396729, -0.405518, -0.41626, -0.39209, -0.839844, 49.1563, -0.851074, -0.824707, 1.00391, 0.996582, stationary
0.394775, 0.000244141, 10.9297, 0.0595703, 0.379883, 0.439453, -0.416748, -0.497314, -0.394043, -0.828613, 48, -0.851563, -0.706543, 1.00586, 0.949219, stationary
0.484375, 0.0446777, 19.5625, 1.52344, -0.383545, 1.13965, -0.30249, -0.76416, 0.8125, -0.761719, 43.4063, -1.44824, 0.0389404, 1.0293, 0.574707, stationary
0.783203, 0.0151367, 44, 0.54834, 0.42041, 0.96875, 0.530762, 0.117065, 0.811523, 0.15918, 8.60156, -0.26001, 0.930664, 1.02344, 0.665039, stationary
0.558105, 0.0900879, 28.125, 0.815918, 0.119934, 0.936035, 0.601074, 0.230591, 1.00293, 0.421143, 13.7891, 0.210205, 0.681152, 1.00195, 0.762695, stationary
0.559082, 0.0454102, 25.0625, 0.632813, 0.154663, 0.787598, 0.398438, -0.148926, 1.11133, 0.630859, 28.2031, 0.462646, 0.75, 1.00781, 0.742676, stationary
0.70166, 0.00170898, 34.5938, 0.0239258, 0.689941, 0.713867, 0.219971, 0.181152, 0.269287, 0.666504, 31.0938, 0.63916, 0.6875, 0.996094, 0.978516, stationary
0.781738, 0.0107422, 43.5625, 0.256348, 0.679688, 0.936035, 0.0688477, -0.287842, 0.253418, 0.570801, 24.2344, 0.29834, 0.76416, 0.999023, 0.960938, stationary
0.810547, 0.00341797, 46.25, 0.237793, 0.655762, 0.893555, 0.083313, -0.0603638, 0.549805, 0.558105, 22.375, 0.42627, 0.865234, 1.00098, 0.953613, stationary
0.737793, 0, 37.9063, 0.0263672, 0.723145, 0.749512, 0.146851, 0.134521, 0.161255, 0.651855, 29.5625, 0.63623, 0.662109, 0.995117, 0.978516, stationary
0.737305, 0, 38, 0.0219727, 0.726074, 0.748047, 0.136719, 0.121033, 0.153198, 0.652344, 29.6719, 0.637207, 0.666992, 0.996094, 0.97998, stationary
0.742676, 0, 38.3438, 0.0219727, 0.728516, 0.750488, 0.133057, 0.113281, 0.152588, 0.649902, 29.4063, 0.626953, 0.668457, 0.996094, 0.978516, stationary
0.736816, 0, 38.0313, 0.0244141, 0.72168, 0.746094, 0.135376, 0.12439, 0.147827, 0.65332, 29.8438, 0.633301, 0.66748, 0.99707, 0.981445, stationary
0.742188, 0, 38.3125, 0.0253906, 0.725098, 0.750488, 0.134033, 0.117493, 0.147217, 0.650391, 29.4531, 0.634766, 0.664063, 0.996094, 0.97998, stationary
0.735352, 0.00146484, 37.9375, 0.0200195, 0.727051, 0.74707, 0.135986, 0.12262, 0.1521, 0.653809, 29.8125, 0.63916, 0.67041, 0.996094, 0.983398, stationary
0.740723, 0, 38.1875, 0.027832, 0.723145, 0.750977, 0.133179, 0.117859, 0.149658, 0.651367, 29.5625, 0.632324, 0.663574, 0.995117, 0.979492, stationary
0.736816, 0, 37.9375, 0.0224609, 0.726074, 0.748535, 0.136597, 0.12146, 0.150391, 0.652344, 29.7813, 0.627441, 0.666504, 0.995117, 0.97998, stationary
0.743164, 0, 38.5313, 0.0219727, 0.729492, 0.751465, 0.131714, 0.115906, 0.148804, 0.649902, 29.4688, 0.627441, 0.672363, 0.99707, 0.97998, stationary
0.738281, 0, 37.9688, 0.0263672, 0.724609, 0.750977, 0.132935, 0.111328, 0.144287, 0.652344, 29.7344, 0.632324, 0.664063, 0.996094, 0.979004, stationary
0.740234, 0, 38.3125, 0.0332031, 0.722656, 0.755859, 0.13147, 0.105469, 0.148438, 0.651855, 29.5781, 0.633789, 0.668945, 0.995117, 0.979004, stationary
0.737793, 0, 37.9688, 0.0263672, 0.725098, 0.751465, 0.134766, 0.12262, 0.150635, 0.651855, 29.75, 0.633301, 0.67041, 0.99707, 0.983398, stationary
0.740234, 0, 38.2813, 0.0229492, 0.728516, 0.751465, 0.13269, 0.117432, 0.149414, 0.650879, 29.5625, 0.634277, 0.666992, 0.99707, 0.979492, stationary
0.734863, 0.000488281, 37.8438, 0.019043, 0.726074, 0.745117, 0.135254, 0.112732, 0.14917, 0.654785, 29.9219, 0.633789, 0.671875, 0.995117, 0.97998, stationary
0.739258, 0, 38, 0.0322266, 0.720703, 0.75293, 0.132202, 0.115784, 0.144653, 0.650879, 29.5781, 0.629395, 0.664063, 0.995117, 0.979004, stationary
0.734863, 0, 37.6563, 0.0263672, 0.717773, 0.744141, 0.136353, 0.120544, 0.15271, 0.655273, 29.9688, 0.641113, 0.669434, 0.99707, 0.981934, stationary
0.742188, 0, 38.1875, 0.0234375, 0.729004, 0.752441, 0.131592, 0.116455, 0.150391, 0.651855, 29.5156, 0.638672, 0.669434, 0.99707, 0.977539, stationary
0.733398, 0, 37.5938, 0.0224609, 0.720703, 0.743164, 0.136963, 0.118958, 0.149414, 0.655273, 30.0781, 0.636719, 0.668457, 0.995117, 0.980957, stationary
0.737305, 0.000488281, 38.0938, 0.0253906, 0.723145, 0.748535, 0.132324, 0.113037, 0.149414, 0.652344, 29.7188, 0.634766, 0.665039, 0.99707, 0.983398, stationary
0.732422, 0, 37.5625, 0.0175781, 0.724121, 0.741699, 0.137085, 0.122864, 0.15271, 0.654785, 29.875, 0.638672, 0.666504, 0.995117, 0.981934, stationary
0.733398, 0.00244141, 37.8438, 0.0263672, 0.723145, 0.749512, 0.133301, 0.112061, 0.143799, 0.651367, 29.7031, 0.633789, 0.673828, 0.994629, 0.977051, stationary
0.734863, 0, 37.5938, 0.0205078, 0.72168, 0.742188, 0.136963, 0.115417, 0.149414, 0.654297, 29.8594, 0.633301, 0.668945, 0.995117, 0.978027, stationary
0.72998, 0.00341797, 37.5313, 0.0239258, 0.717773, 0.741699, 0.135742, 0.121765, 0.1521, 0.65332, 29.9063, 0.633301, 0.669922, 0.995117, 0.978516, stationary
0.738281, 0, 37.9375, 0.0214844, 0.723633, 0.745117, 0.13501, 0.115479, 0.14917, 0.652832, 29.7188, 0.638184, 0.669922, 0.99707, 0.983887, stationary
0.731934, 0.00195313, 37.625, 0.0209961, 0.723633, 0.744629, 0.137207, 0.115417, 0.150757, 0.655273, 30.0469, 0.639648, 0.668945, 0.996094, 0.981934, stationary
0.737305, 0, 37.9063, 0.0258789, 0.724609, 0.750488, 0.134155, 0.112732, 0.146729, 0.651855, 29.7188, 0.634766, 0.669434, 0.996094, 0.982422, stationary
0.730469, 0.00244141, 37.5313, 0.03125, 0.716797, 0.748047, 0.136963, 0.121155, 0.147583, 0.65625, 30.1719, 0.641602, 0.67041, 0.994629, 0.979492, stationary
0.734375, 0.00244141, 37.9375, 0.0234375, 0.724121, 0.747559, 0.134644, 0.115845, 0.149292, 0.65332, 29.7813, 0.627441, 0.669434, 0.996094, 0.977539, stationary
0.737305, 0, 37.9688, 0.0239258, 0.726074, 0.75, 0.135742, 0.119629, 0.151978, 0.65332, 29.8594, 0.634277, 0.67041, 0.996094, 0.979004, stationary
0.731445, 0.000488281, 37.5, 0.0244141, 0.72168, 0.746094, 0.136475, 0.117798, 0.150513, 0.655273, 30.1094, 0.637207, 0.670898, 0.995117, 0.978027, stationary
0.738281, 0, 38, 0.0253906, 0.724609, 0.75, 0.131714, 0.115906, 0.145752, 0.648926, 29.4219, 0.632324, 0.663086, 0.995117, 0.975098, stationary
0.72998, 0.00195313, 37.4375, 0.0166016, 0.723633, 0.740234, 0.137817, 0.121399, 0.157349, 0.656738, 30.0938, 0.640137, 0.669922, 0.995117, 0.980469, stationary
0.733887, 0.000976563, 37.7813, 0.0200195, 0.724121, 0.744141, 0.135254, 0.118835, 0.146362, 0.654297, 30, 0.637695, 0.670898, 0.99707, 0.978027, stationary
0.736328, 0, 37.75, 0.0244141, 0.720703, 0.745117, 0.135498, 0.114929, 0.150757, 0.652344, 29.75, 0.630859, 0.66748, 0.993652, 0.975586, stationary
0.730957, 0.00244141, 37.5625, 0.0249023, 0.719727, 0.744629, 0.136597, 0.118225, 0.152588, 0.65625, 30.0625, 0.641113, 0.670898, 0.995117, 0.978516, stationary
0.740234, 0, 38.2188, 0.0400391, 0.723145, 0.763184, 0.134277, 0.111206, 0.151367, 0.650391, 29.5781, 0.614746, 0.668457, 0.996094, 0.979492, stationary
0.699707, 0.0129395, 35.1875, 0.511719, 0.420166, 0.931641, 0.265869, -0.0406494, 0.858398, 0.614746, 26.8125, 0.442139, 0.706543, 1.00098, 0.810059, stationary
0.112915, 0.0830078, 6.70313, 0.986816, -0.473877, 0.512695, 0.876465, 0.380615, 1.41113, 0.347656, 11.5781, 0.00714111, 0.742188, 1.0293, 0.802734, stationary
-0.171753, 0.0733032, 7.19531, 1.00879, -0.555176, 0.453369, 0.817871, 0.557617, 1.06934, 0.438965, 14.6719, 0.141846, 0.739746, 0.992676, 0.768555, stationary
0.26709, 0.0160522, 6.12109, 0.468994, 0.0897217, 0.558594, 0.918457, 0.693359, 1.2207, 0.260986, 5.19531, 0.0830688, 0.414551, 1.00391, 0.876953, stationary
0.263184, 0.00170898, 4.96875, 0.155762, 0.198242, 0.354004, 0.879395, 0.737793, 1.00781, 0.388184, 11.0391, 0.228027, 0.643066, 1.00195, 0.903809, stationary
