acc_x[g],acc_y[g],acc_z[g]
-0.305,-0.009,0.989
-0.318,0.055,0.894
-0.271,0.075,0.993
-0.289,0.044,0.967
-0.258,0.04,0.974
-0.263,0.04,0.998
-0.277,0.052,0.963
-0.253,0.031,1.009
-0.273,0.099,0.932
-0.278,0.005,0.987
-0.306,0.031,0.929
-0.285,0.078,0.96
-0.3,0.052,0.947
-0.271,0.045,0.983
-0.256,0.045,1.019
-0.289,0.039,0.922
-0.265,0.015,1.003
-0.277,0.101,0.947
-0.243,0.024,0.994
-0.308,0.021,0.913
-0.303,0.044,0.944
-0.284,0.078,0.996
-0.266,0.046,0.979
-0.238,0.023,1.04
-0.266,0.06,0.956
-0.247,0,1.053
-0.281,0.084,0.954
-0.238,0.055,0.991
-0.285,0.04,0.952
-0.27,0.015,0.987
-0.29,0.07,0.964
-0.27,0.055,0.957
-0.255,0.02,1.002
-0.284,0.074,0.948
-0.268,0.009,1.012
-0.289,0.059,0.938
-0.222,0.063,1.038
-0.26,0.074,0.984
-0.269,0.008,0.973
-0.304,0.024,0.944
-0.299,0.086,0.936
-0.26,0.031,1
-0.303,0.06,0.908
-0.285,0.022,0.985
-0.314,0.039,0.945
-0.248,0.048,1.011
-0.266,0.083,0.992
-0.246,0.026,0.99
-0.265,0.007,1.008
-0.306,0.104,0.936
-0.281,0.024,0.977
-0.297,0.069,0.931
-0.253,0.035,1.011
-0.318,0.044,0.916
-0.278,0.026,0.994
-0.269,0.074,1
-0.249,0.06,0.984
-0.251,-0.006,1.01
-0.287,0.055,0.936
-0.255,0.048,1.004
-0.286,0.079,0.938
-0.271,0.016,0.994
-0.301,0.059,0.889
-0.282,0.025,0.997
-0.286,0.053,0.976
-0.261,0.076,0.954
-0.26,0.019,1.004
-0.286,0.035,0.948
-0.278,0.042,0.975
-0.281,0.086,0.956
-0.239,0.007,1.024
-0.278,0.081,0.969
-0.283,0.023,0.938
-0.307,0.037,0.92
-0.286,0.086,0.958
-0.261,0.032,0.998
-0.294,0.032,0.941
-0.273,0,1.001
-0.289,0.096,0.933
-0.237,0.031,1.02
-0.273,0.048,0.964
-0.279,0.049,0.944
-0.277,0.016,1.009
-0.286,0.064,0.946
-0.257,0.058,1
-0.284,0.054,0.941
-0.244,-0.021,1.036
-0.297,0.099,0.942
-0.245,0.028,0.984
-0.274,0.046,0.969
-0.271,0.06,0.97
-0.289,0.013,0.955
-0.303,0.037,0.915
-0.278,0.061,0.995
-0.289,0.08,0.959
-0.248,-0.008,1.044
-0.295,0.047,0.941
-0.251,0.055,1.003
-0.292,0.066,0.95
-0.276,0.033,0.957
-0.275,0.03,0.944
-0.276,0.04,1.009
-0.259,0.12,0.928
-0.278,0.017,0.988
-0.295,0.022,0.923
-0.277,0.053,0.966
-0.276,0.064,0.967
-0.269,0.041,0.97
-0.27,0.039,1.001
-0.286,0.055,0.91
-0.287,-0.008,0.942
-0.301,0.091,0.935
-0.258,0.039,1.009
-0.294,0.032,0.918
-0.285,0.024,0.98
-0.282,0.05,0.994
-0.245,0.077,0.991
-0.237,0.017,1.027
