acc_x[g],acc_y[g],acc_z[g]
-0.299,0.075,0.875
-0.269,-0.001,1.04
-0.25,0.014,1.06
-0.293,0.08,0.936
-0.295,0.093,0.861
-0.279,-0.012,0.978
-0.308,0.029,0.99
-0.273,0.067,1.012
-0.268,0.092,0.915
-0.222,0.007,1.024
-0.305,-0.003,0.949
-0.319,0.073,0.942
-0.309,0.115,0.928
-0.208,-0.013,0.995
-0.257,0.016,1.04
-0.336,0.042,0.9
-0.333,0.113,0.884
-0.252,0.061,0.972
-0.237,-0.031,1.072
-0.274,0.031,0.965
-0.338,0.113,0.864
-0.286,0.053,0.894
-0.247,-0.01,1.046
-0.261,0.034,1.037
-0.281,0.063,0.976
-0.28,0.071,0.855
-0.264,-0.01,0.983
-0.285,0.032,1.006
-0.287,0.092,1.016
-0.269,0.079,0.911
-0.241,-0.024,0.985
-0.288,0.019,0.972
-0.311,0.081,0.945
-0.314,0.098,0.883
-0.245,0.015,1.017
-0.269,-0.021,1.001
-0.311,0.075,0.935
-0.337,0.121,0.881
-0.249,0.005,0.969
-0.234,0,1.068
-0.267,0.022,0.984
-0.318,0.103,0.899
-0.307,0.064,0.85
-0.264,-0.032,1.037
-0.255,0.047,1.037
-0.284,0.088,0.986
-0.283,0.051,0.873
-0.28,-0.013,0.923
-0.315,0.036,0.953
-0.284,0.077,1.021
-0.275,0.084,0.953
-0.217,-0.005,1.007
-0.295,0.022,0.937
-0.344,0.072,0.895
-0.32,0.096,0.923
-0.228,-0.012,1.01
-0.231,0.029,1.075
-0.289,0.044,0.945
-0.335,0.104,0.884
-0.279,0.033,0.942
-0.221,-0.022,1.072
-0.272,0.074,0.973
-0.338,0.071,0.899
-0.303,0.048,0.85
-0.256,0,0.97
-0.298,0.052,1.02
-0.28,0.06,0.984
-0.294,0.067,0.864
-0.249,-0.006,0.977
-0.314,0.055,0.955
-0.328,0.073,0.967
-0.296,0.053,0.943
-0.216,0.013,1.006
-0.239,0.034,1.012
-0.326,0.074,0.931
-0.353,0.087,0.884
-0.225,0.012,1.006
-0.216,0.011,1.061
-0.284,0.051,0.956
-0.336,0.085,0.882
-0.283,0.029,0.878
-0.259,0.013,1.051
-0.27,0.031,0.999
-0.324,0.077,0.906
-0.281,0.06,0.88
-0.252,-0.005,1.007
-0.287,0.049,1.029
-0.3,0.064,0.874
-0.284,0.004,0.976
-0.231,0.04,0.966
-0.299,0.055,1.005
-0.285,0.089,0.939
-0.218,0.017,1.004
-0.266,0.015,0.976
-0.34,0.033,0.903
-0.333,0.083,0.898
-0.256,0.046,0.981
-0.225,0.015,1.08
-0.298,0.028,0.922
-0.344,0.07,0.877
-0.263,0.059,0.916
-0.243,0.006,1.026
-0.281,0.044,1.007
-0.319,0.064,0.964
-0.272,0.071,0.861
-0.244,0.011,1.005
-0.291,0.042,1.036
-0.311,0.054,0.959
-0.282,0.085,0.901
-0.244,0.003,0.957
-0.308,0.014,0.939
-0.335,0.051,0.938
-0.316,0.082,0.917
-0.212,0.028,1.017
-0.259,0.01,0.979
-0.333,0.029,0.919
-0.36,0.098,0.852
-0.253,0.047,0.985
-0.213,0,1.093
-0.258,0.032,1.007
-0.325,0.092,0.89
-0.296,0.064,0.845
-0.265,-0.002,1.043
-0.287,0.016,0.992
-0.285,0.089,0.983
-0.273,0.089,0.899
-0.264,-0.013,0.969
-0.297,0.007,0.989
-0.291,0.073,1.005
-0.272,0.088,0.893
-0.226,0.013,1.003
-0.304,0,0.97
-0.319,0.051,0.936
-0.296,0.127,0.939
-0.225,0.015,0.992
-0.255,-0.006,0.994
-0.33,0.038,0.887
-0.348,0.111,0.894
-0.259,0.055,0.974
-0.229,-0.012,1.075
-0.251,0.015,1.013
-0.317,0.097,0.903
-0.292,0.075,0.854
-0.273,-0.016,1.019
-0.276,0.036,1.029
-0.282,0.065,0.966
-0.277,0.087,0.856
-0.253,-0.008,1.019
-0.312,0.015,0.959
-0.3,0.089,0.982
-0.292,0.102,0.919
-0.234,-0.021,0.981
-0.268,0.003,1.005
-0.329,0.082,0.949
-0.312,0.096,0.912
-0.22,0.022,1.012
-0.245,-0.021,1.015
-0.304,0.041,0.941
-0.335,0.109,0.868
-0.292,0.035,0.91
-0.24,-0.007,1.057
-0.26,0.033,0.997
-0.307,0.096,0.918
-0.309,0.057,0.833
-0.281,-0.018,0.993
-0.277,0.047,1.023
-0.286,0.101,1.024
-0.268,0.063,0.904
-0.246,-0.027,0.968
-0.308,0.038,0.981
-0.302,0.071,0.972
-0.288,0.104,0.902
-0.239,0.004,1.02
-0.264,-0.017,0.979
-0.302,0.075,0.939
-0.33,0.112,0.901
