acc_l_x[mg],acc_l_y[mg],acc_l_z[mg],acc_h_x[mg],acc_h_y[mg],acc_h_z[mg]
548.512,669.536,646.112,640.256,687.104,569.984
548.024,668.072,643.672,632.448,702.720,601.216
548.512,667.584,645.136,648.064,687.104,585.600
546.072,666.120,644.648,624.640,702.720,616.832
548.512,665.632,639.768,632.448,718.336,609.024
544.608,666.120,640.744,624.640,702.720,577.792
545.096,665.632,641.720,632.448,687.104,569.984
545.584,662.704,640.256,624.640,694.912,585.600
546.072,663.192,638.792,640.256,733.952,648.064
545.096,663.680,636.352,609.024,710.528,616.832
545.096,665.144,635.376,663.680,694.912,577.792
545.584,664.656,634.888,632.448,710.528,609.024
544.120,664.656,635.864,616.832,726.144,577.792
544.608,661.728,632.448,632.448,726.144,562.176
542.656,661.728,631.472,671.488,679.296,577.792
541.680,662.216,630.008,663.680,702.720,577.792
543.632,659.776,628.056,671.488,710.528,554.368
541.680,658.312,628.544,632.448,710.528,554.368
541.680,660.264,627.080,632.448,694.912,616.832
542.656,659.288,626.592,640.256,687.104,609.024
542.656,658.312,624.640,624.640,702.720,585.600
541.680,657.336,621.224,616.832,702.720,616.832
541.680,657.824,616.832,687.104,687.104,507.520
542.656,659.288,612.928,616.832,655.872,569.984
542.168,660.264,615.368,601.216,733.952,593.408
541.680,661.240,611.952,640.256,687.104,554.368
542.168,660.752,607.072,593.408,679.296,577.792
541.680,662.216,604.144,648.064,694.912,569.984
541.680,660.752,603.168,648.064,702.720,569.984
541.192,662.216,602.192,616.832,687.104,538.752
541.680,661.240,601.216,671.488,710.528,546.560
543.632,661.240,597.312,640.256,702.720,562.176
540.704,659.776,594.872,655.872,733.952,546.560
543.144,659.288,592.920,632.448,679.296,562.176
540.704,657.336,594.384,640.256,687.104,523.136
541.192,655.384,590.968,655.872,710.528,577.792
541.192,656.360,589.504,648.064,687.104,530.944
538.264,653.920,589.992,624.640,694.912,538.752
539.728,654.896,585.112,624.640,687.104,530.944
536.800,650.016,582.672,601.216,663.680,530.944
538.264,648.064,580.232,624.640,687.104,507.520
538.264,648.552,581.208,616.832,671.488,507.520
538.264,646.600,579.744,655.872,679.296,530.944
539.240,646.112,574.864,593.408,687.104,507.520
539.728,648.064,571.448,624.640,671.488,538.752
537.776,645.624,570.472,640.256,655.872,515.328
537.288,644.648,566.080,640.256,687.104,523.136
536.312,644.648,565.592,616.832,687.104,515.328
535.336,644.648,563.152,616.832,694.912,507.520
532.408,644.160,563.152,601.216,671.488,515.328
530.944,643.672,560.224,616.832,679.296,530.944
528.504,644.160,557.296,648.064,687.104,484.096
528.504,645.624,558.760,640.256,671.488,499.712
524.112,648.064,558.760,632.448,702.720,515.328
521.672,647.576,555.832,601.216,655.872,491.904
516.792,651.968,554.856,640.256,671.488,491.904
515.816,654.408,554.856,616.832,648.064,523.136
516.304,653.432,557.296,609.024,694.912,515.328
514.352,655.384,554.856,593.408,671.488,523.136
512.888,656.360,554.368,601.216,741.760,484.096
511.424,656.360,552.416,609.024,694.912,515.328
510.448,655.872,550.952,585.600,687.104,515.328
509.472,655.872,548.024,601.216,687.104,507.520
510.936,655.384,544.120,593.408,710.528,515.328
509.472,655.872,543.144,624.640,702.720,484.096
509.960,653.432,539.728,616.832,749.568,491.904
509.960,654.408,538.752,601.216,710.528,476.288
